,Brand,Color,Bluetooth,Touchscreen,WiFi,Webcam,GPU_amd,GPU_intel,GPU_mali,GPU_nvidia,OS_Windows,OS_android,OS_chrome,OS_linux,OS_windows,Storage Type_emmc,Storage Type_hdd/ssd,Storage Type_other,Storage Type_ssd,Processor Speed,Display Width,Display Height,Hard Drive Capacity,SSD Capacity,Screen Size (cm),Ram Size,Price per Screen Size,Price per Display Height,Price per Display Width
2227,lenovo,2,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04432719624785131,0.0,0.0,0.02447861965491373,0.05053803803803804,0.004938301592579141,0.0116796875,0.013968985832707151,0.020230261957580275,0.020302765130757718
2228,dell,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.19170344797959876,0.16395613310165744,0.02447861965491373,0.12712712712712712,0.00837404047452896,0.015625,0.04929172461817106,0.07014512223302656,0.06859925908198222
2229,samsung,2,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04432719624785131,0.0,0.0,0.02447861965491373,0.05053803803803804,0.004938301592579141,0.0116796875,0.015678115243684603,0.023042218450540386,0.023114513538327285
2230,dell,1,1,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3095238095238095,0.37270437353307584,0.3237880488322229,0.02447861965491373,0.11911911911911911,0.007327285415212841,0.0116796875,0.10721322552448902,0.09774005370135762,0.09563433321851833
2231,dell,2,1,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2357142857142857,0.37270437353307584,0.3237880488322229,0.02447861965491373,0.23923923923923923,0.00614096301465457,0.0116796875,0.09627965921977683,0.07511147414148786,0.07349363828093929
2232,lenovo,2,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.49999999999999994,0.37270437353307584,0.3237880488322229,0.02447861965491373,0.029029029029029027,0.00837404047452896,0.0116796875,0.06656527918373345,0.06708901048249742,0.0656441433512388
2233,lenovo,1,1,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4761904761904761,0.37270437353307584,0.3237880488322229,0.02447861965491373,0.23923923923923923,0.009490579204466155,0.0116796875,0.11180015458282674,0.12819489536334036,0.12543255174240844
2234,lenovo,1,1,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.4761904761904761,0.37270437353307584,0.3237880488322229,0.02447861965491373,0.11911911911911911,0.009490579204466155,0.0116796875,0.10204175929468161,0.11674980454548714,0.11423422337802595
2235,auo,2,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04432719624785131,0.0,0.0,0.02447861965491373,0.05053803803803804,0.004938301592579141,0.0116796875,0.03139252192143805,0.04889645020543906,0.04896683207446703
2236,lenovo,1,1,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.4761904761904761,0.37270437353307584,0.3237880488322229,0.02447861965491373,0.029029029029029027,0.009490579204466155,0.0116796875,0.08527590681866841,0.09708604851176603,0.09499442874055361
