Brand,Price,Color,GPU,Processor Speed,Display Width,Display Height,OS,Storage Type,Hard Drive Capacity,SSD Capacity,Screen Size (cm),Ram Size,Price per Screen Size,Price per Display Height,Price per Display Width,Bluetooth,Touchscreen,WiFi,Webcam
dell,200.0,black,intel,2.6,1920.0,1080.0,windows,ssd,256.0,256.0,12.5,8.0,16.0,0.18518518518518517,0.10416666666666667,Yes,No,No,Yes
hp,300.0,silver,intel,1.6,3000.0,2000.0,unknown,ssd,98.89,512.0,13.0,16.0,23.076923076923077,0.15,0.1,Yes,Yes,No,Yes
microsoft,60.0,gray,other,1.9,2160.0,1440.0,windows,ssd,128.0,128.0,12.0,4.0,5.0,0.041666666666666664,0.027777777777777776,No,No,No,No
lenovo,45.0,black,intel,1.1,1366.0,768.0,chrome,emmc,98.89,16.0,11.6,0.0,3.8793103448275863,0.05859375,0.03294289897510981,Yes,Yes,Yes,Yes
hp,439.0,silver,intel,4.2,1920.0,1080.0,windows,ssd,2000.0,2000.0,15.6,32.0,28.141025641025642,0.4064814814814815,0.22864583333333333,Yes,No,Yes,Yes
dell,345.0,black,intel,3.1,1920.0,1080.0,windows,ssd,512.0,512.0,15.6,16.0,22.115384615384617,0.3194444444444444,0.1796875,Yes,No,Yes,Yes
hp,420.0,black,intel,4.2,1920.0,1080.0,windows,ssd,2000.0,205.95,14.0,5.98,30.0,0.3888888888888889,0.21875,Yes,No,Yes,Yes
lenovo,73.0,black,other,1.6,1366.0,768.0,windows,ssd,98.89,128.0,11.6,5.98,6.293103448275862,0.09505208333333333,0.053440702781844804,Yes,Yes,Yes,Yes
hp,209.0,black,intel,2.5,779.2421706908917,447.9493186708104,windows,ssd,98.89,512.0,15.6,16.0,13.397435897435898,0.466570639330719,0.2682093036811604,Yes,No,Yes,Yes
lenovo,799.0,gray,nvidia,3.5,2560.0,1600.0,windows,ssd,98.89,512.0,16.0,16.0,49.9375,0.499375,0.312109375,Yes,No,Yes,No
lenovo,100.0,brown,intel,1.9,779.2421706908917,447.9493186708104,unknown,ssd,256.0,256.0,14.0,8.0,7.142857142857143,0.22323954034962634,0.12832981037376096,No,Yes,No,No
dell,219.0,black,other,3.9,1920.0,1080.0,windows,ssd,512.0,512.0,15.61,16.0,14.029468289557975,0.20277777777777778,0.1140625,No,No,No,Yes
dell,152.5,black,intel,1.6,1366.0,768.0,windows,ssd,98.89,256.0,14.0,8.0,10.892857142857142,0.19856770833333334,0.1116398243045388,Yes,No,Yes,Yes
lenovo,130.0,black,other,1.1861742242409754,779.2421706908917,447.9493186708104,unknown,unknown,98.89,256.0,14.0,16.0,9.285714285714286,0.2902114024545142,0.16682875348588924,No,Yes,No,Yes
dell,489.0,black,amd,4.5,1920.0,1080.0,windows,ssd,512.0,512.0,15.6,16.0,31.346153846153847,0.4527777777777778,0.2546875,Yes,No,Yes,No
dell,120.0,black,other,2.4,1920.0,1080.0,unknown,ssd,8.0,205.95,14.0,8.0,8.571428571428571,0.1111111111111111,0.0625,Yes,Yes,Yes,Yes
lg,550.0,black,other,1.1861742242409754,779.2421706908917,447.9493186708104,windows,unknown,98.89,512.0,17.3,16.0,31.791907514450866,1.2278174719229449,0.7058139570556853,No,No,No,No
hp,29.98,multicolor,other,2.16,1366.0,768.0,chrome,ssd,16.0,16.0,14.0,16.0,2.1414285714285715,0.039036458333333336,0.021947291361639823,No,No,Yes,No
hp,145.0,black,intel,2.3,779.2421706908917,447.9493186708104,windows,ssd,98.89,512.0,15.6,8.0,9.294871794871796,0.3236973335069582,0.18607822504195337,Yes,No,Yes,Yes
dell,160.0,other,other,2.3,779.2421706908917,447.9493186708104,windows,ssd,256.0,256.0,15.6,8.0,10.256410256410257,0.35718326455940214,0.20532769659801753,No,No,No,No
hp,85.0,multicolor,intel,1.1861742242409754,1366.0,768.0,chrome,emmc,16.0,16.0,11.6,4.0,7.327586206896552,0.11067708333333333,0.06222547584187409,Yes,No,Yes,Yes
microsoft,69.6,other,other,1.1861742242409754,779.2421706908917,447.9493186708104,unknown,ssd,256.0,256.0,12.5,256.0,5.568,0.1553747200833399,0.08931754802013761,Yes,No,No,Yes
hp,70.0,black,intel,1.6,1366.0,768.0,chrome,emmc,16.0,16.0,11.6,4.0,6.0344827586206895,0.09114583333333333,0.05124450951683748,Yes,Yes,Yes,Yes
hp,49.0,gray,other,1.6,1366.0,768.0,chrome,emmc,16.0,16.0,11.6,4.0,4.224137931034483,0.06380208333333333,0.03587115666178624,Yes,No,Yes,Yes
dell,130.0,black,intel,2.6,1920.0,1080.0,windows,ssd,256.0,256.0,12.5,8.0,10.4,0.12037037037037036,0.06770833333333333,Yes,Yes,Yes,Yes
lenovo,135.0,other,other,1.1861742242409754,779.2421706908917,447.9493186708104,unknown,unknown,98.89,205.95,14.0,5.98,9.642857142857142,0.30137337947199555,0.17324524400457728,No,No,No,No
lenovo,81.0,black,other,2.5,1366.0,768.0,windows,hdd/ssd,320.0,120.0,12.5,4.0,6.48,0.10546875,0.05929721815519766,Yes,Yes,No,Yes
microsoft,103.75,silver,other,2.6,3000.0,2000.0,unknown,ssd,512.0,205.95,13.5,1.0,7.685185185185185,0.051875,0.034583333333333334,Yes,Yes,Yes,Yes
dell,200.0,black,nvidia,2.5,1920.0,1080.0,windows,ssd,98.89,256.0,15.6,8.0,12.820512820512821,0.18518518518518517,0.10416666666666667,Yes,No,Yes,Yes
dell,288.0,other,intel,2.8,779.2421706908917,447.9493186708104,windows,ssd,98.89,512.0,12.5,5.98,23.04,0.6429298762069239,0.36958985387643156,No,Yes,Yes,No
dell,105.0,black,other,2.6,1920.0,1080.0,windows,ssd,256.0,256.0,14.0,8.0,7.5,0.09722222222222222,0.0546875,No,No,Yes,Yes
dell,39.94,black,other,1.6,1366.0,768.0,chrome,emmc,16.0,16.0,13.3,4.0,3.0030075187969922,0.05200520833333333,0.029238653001464127,Yes,No,Yes,Yes
lenovo,90.0,black,other,2.3,1366.0,768.0,windows,ssd,128.0,128.0,11.6,8.0,7.758620689655173,0.1171875,0.06588579795021962,No,Yes,No,No
lenovo,599.0,grey,intel,4.2,1920.0,1080.0,windows,ssd,1000.0,1000.0,15.6,20.0,38.3974358974359,0.5546296296296296,0.31197916666666664,Yes,Yes,Yes,Yes
dell,170.0,other,other,2.4,779.2421706908917,447.9493186708104,unknown,ssd,500.0,500.0,14.0,16.0,12.142857142857142,0.37950721859436476,0.21816067763539362,No,No,No,No
dell,239.0,other,other,2.7,779.2421706908917,447.9493186708104,windows,ssd,98.89,512.0,15.6,16.0,15.320512820512821,0.5335425014356069,0.3067082467932887,No,No,No,No
dell,169.0,silver,intel,1.8,1920.0,1080.0,windows,unknown,98.89,256.0,13.3,8.0,12.706766917293232,0.15648148148148147,0.08802083333333334,Yes,No,Yes,Yes
hp,290.0,silver,intel,2.6,1920.0,1080.0,windows,ssd,500.0,500.0,14.0,32.0,20.714285714285715,0.26851851851851855,0.15104166666666666,No,No,Yes,No
dell,90.0,black,other,1.1861742242409754,779.2421706908917,447.9493186708104,unknown,other,98.89,205.95,14.0,8.0,6.428571428571429,0.2009155863146637,0.11549682933638486,No,No,No,No
