Brand,Price,Color,Features,Condition,Condition Description,Seller Note,GPU,Processor,Processor Speed,Type,Display Width,Display Height,OS,Storage Type,Hard Drive Capacity,SSD Capacity,Screen Size (inch),Ram Size
dell,239.0,other,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel core i7 6th generation,2.7,notebook/laptop,779.2421706908917,447.94931867081044,windows,ssd,98.89,512.0,15.6,16.0
dell,169.0,silver,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","item is seller refurbished, fully tested. not responsible for technical support! machines may show signs of heavy office use, wear scratches across case, rubber screw covers or bumpers may be missing or damaged. cosmetic damage in no way affects the way these machines run.",intel,intel core i7 8th generation,1.8,notebook/laptop,1920.0,1080.0,windows,unknown,98.89,256.0,13.3,8.0
hp,290.0,silver,Wi-Fi,Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",undefined,intel,intel core i5 8th generation,2.6,notebook/laptop,1920.0,1080.0,windows,ssd,500.0,500.0,14.0,32.0
dell,90.0,black,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","for parts or repair only. has scratches and dings, and cosmetic blemishes, primarily from adhesive residue from removal of previous owner's stickers.",other,intel core i7,1.1861742242409754,notebook/laptop,779.2421706908917,447.94931867081044,unknown,other,98.89,205.95,14.0,8.0
lenovo,105.0,other,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","preowned condition, good working condition",other,intel core i5-3320m,2.6,notebook/laptop,779.2421706908917,447.94931867081044,unknown,unknown,180.0,205.95,12.5,8.0
microsoft,409.0,silver,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi",Open box,"An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.",wi-fi only. grade a+ in excellent condition. fully tested. 1 year warranty.,intel,intel core i5 11th generation,2.4,notebook/laptop,2736.0,1824.0,windows,ssd,98.89,256.0,12.3,8.0
dell,200.0,black,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Rugged, Touchscreen, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",great used shape has scratches scuffs and normal wear from use,intel,intel core i5 6th generation,2.4,notebook/laptop,1920.0,1080.0,windows,ssd,256.0,256.0,14.0,8.0
lenovo,55.0,gray,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",Undefined,Undefined,undefined,mali,mediatek mt8183,2.0,other,1920.0,1200.0,chrome,emmc,98.89,32.0,10.1,5.98
hp,659.0,blue,Backlit Keyboard,Undefined,Undefined,undefined,nvidia,intel core i5 13th generation,2.1,notebook/laptop,1920.0,1080.0,windows,ssd,98.89,512.0,15.6,8.0
dell,229.0,gray,"Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",good working 10th gen laptop - really nice cosmetic condition - wear marks from normal use. ac adapter (power cord) is included!,intel,intel core i5 10th generation,1.7,notebook/laptop,1920.0,1080.0,unknown,ssd,512.0,512.0,14.0,16.0
